excel_row	year	venue	rating	type	core	title
151	2011	FUSION	Pending	RGB-T	Sparse Representation	Multiple source data fusion via sparse representation for robust visual tracking
152	2010	MVA	CAS-Q4	RGB-T	Pedestrian Tracking, Video Fusion	Pedestrian tracking by fusion of thermal-visible surveillance videos
153	2008	MVA	CAS-Q4	RGB-T	Spatiogram Trackers, Feature Fusion	Thermo-visual feature fusion for object tracking using multiple spatiogram trackers
154	2008	ICRA	Pending	RGB-T SOT	Color/infrared fusion tracking with sequential belief propagation	Fusion tracking in color and infrared images using sequential belief propagation
155	2007	CVPR	CCF-A	RGB-T	Pixel-level Fusion	The effect of pixel-level fusion on object tracking in multi-sensor surveillance video
156	2007	WACV	Pending	RGB-T	Geodesic Active Contour	Geodesic active contour based fusion of visible and infrared video for persistent object tracking
157	2007	CVPRW	Pending	Thermal-visible target tracking	Thermal-visible video fusion for moving-target tracking and pedestrian classification.	Thermal-Visible Video Fusion for Moving Target Tracking and Pedestrian Classification
158	2006	FUSION	Pending	RGB-T	Fusion Comparison	Comparison of fusion methods for thermo-visual surveillance tracking
159	2006	Workshop on Multiple Sensor Data Fusion	Pending	Multi-sensor SOT	Particle-filter object tracking with multi-sensor video fusion.	The influences of multi-sensor video fusion on object tracking using a particle filter
160	2004	Proceedings of the IEEE	Pending	General multi-source SOT	Particle-filter framework for data fusion in visual tracking.	Data Fusion for Visual Tracking With Particles
