zotero_itemID	zotero_key	zotero_type	zotero_title	zotero_date	excel_row	excel_year	excel_venue	excel_rating	excel_type	excel_core	match_score	proposed_tags	existing_tags
2324	6AP2LXE2	journalArticle	LasHeR: A large-scale high-diversity benchmark for RGBT tracking	2022-00-00 2022	92	2022	TIP	CAS-Q1	RGB-T	Benchmark, LasHeR Dataset; Datasets: LasHeR	1.000	task:RGB-T; scope:SOT; role:Dataset/Benchmark; dataset:LasHeR; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT	CV; Datasets; Object Tracking; RGB-T
2325	CSLTW96Q	webpage	LasHeR: A large-scale high-diversity benchmark for RGBT tracking	2021-04-27 2021/04/27	92	2022	TIP	CAS-Q1	RGB-T	Benchmark, LasHeR Dataset; Datasets: LasHeR	1.000	task:RGB-T; scope:SOT; role:Dataset/Benchmark; dataset:LasHeR; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT	CV; Datasets; Object Tracking; RGB-T
2322	YFS6GMYB	preprint	Visible-thermal UAV tracking: A large-scale benchmark and new baseline	2022-04-08 2022-04-08	90	2022	CVPR	CCF-A	RGB-T	Benchmark, UAV Tracking; Datasets: VTUAV	1.000	task:RGB-T; scope:SOT; role:Dataset/Benchmark; dataset:VTUAV; problem:UAV/Drone; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT	CV; Object Tracking; RGB-T
3183	CMTU82AE	journalArticle	RGBT tracking via multi-adapter network with hierarchical divergence loss	2021-00-00 2021	106	2021	TIP	CAS-Q1	RGB-T	Multi-adapter, Divergence Loss	1.000	task:RGB-T; scope:SOT; fusion:Prompt/Adapter/PEFT; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT	Ad hoc networks; Adaptation models; Data mining; Feature extraction; Kernel; Mobile computing; RGBT tracking; Target tracking; ai-processed; hierarchical divergence loss; multiple adapters; parallel design; representation learning
3175	JFFJZ89B	conferencePaper	Challenge-aware RGBT tracking	2020-00-00 2020	113	2020	ECCV	CCF-B	RGB-T	Robust Tracking	1.000	task:RGB-T; scope:SOT; tier:T3-Background; status:Skimmed; source:Excel-RGBT-SOT	Challenge modelling; Guidance module; Insufficient training data; Rgbt tracking; ai-processed
3171	AWWAC8KZ	conferencePaper	Multi-adapter RGBT tracking	2019-00-00 2019	124	2019	ICCV Workshop	Workshop	RGB-T	Multi-adapter, Fusion	1.000	task:RGB-T; scope:SOT; fusion:Prompt/Adapter/PEFT; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT	RGB-T
3169	DMEXI58C	conferencePaper	Deep adaptive fusion network for high performance RGBT tracking	2019-00-00 2019	123	2019	ICCV Workshop	Workshop	RGB-T	Adaptive Fusion	1.000	task:RGB-T; scope:SOT; fusion:Adaptive/Dynamic; tier:T3-Background; status:Skimmed; source:Excel-RGBT-SOT	RGB-T
2326	BI46P8FQ	preprint	RGB-T object tracking:Benchmark and baseline	2018-05-23 2018-05-23	121	2019	PR	CAS-Q1	RGB-T	Benchmark, Baseline; Datasets: RGBT210	0.987	task:RGB-T; scope:SOT; role:Dataset/Benchmark; dataset:RGBT210; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT	CV; Datasets; Object Tracking; RGB-T
3166	WL8K9QK7	conferencePaper	Weighted sparse representation regularized graph learning for RGB-T object tracking	2017-10-23 十月 23, 2017	142	2017	ACM MM	CCF-A	RGB-T	Graph Learning, Sparse Representation	1.000	task:RGB-T; scope:SOT; arch:Traditional/Sparse-Graph-CF; tier:T3-Background; status:Skimmed; source:Excel-RGBT-SOT	Datasets; Graph Neural Network; Object Tracking; RGB-T
3152	ANGTQ8GE	journalArticle	Learning collaborative sparse representation for grayscale-thermal tracking	2016-12-00 2016-12	144	2016	TIP	CAS-Q1	RGB-T	Sparse Representation; Datasets: GTOT	1.000	task:RGB-T; scope:SOT; arch:Traditional/Sparse-Graph-CF; role:Dataset/Benchmark; dataset:GTOT; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT	Bayes methods; Benchmark testing; Collaboration; Collaborative sparse representation; Datasets; Gray-scale; Object Tracking; RGB-T; Reliability; Target tracking; Videos; adaptive tracking; ai-processed; grayscale-thermal tracking benchmark; multi-task modeling
