row,year,stage,lane,label,degree,in_degree,out_degree,datasets,title
29,2025,2025-2026,dataset,UniBench300,15,15,0,UniBench300,Serial Over Parallel: Learning Continual Unification for Multi-Modal Visual Object Tracking and Benchmarking
32,2025,2025-2026,dataset,MV-RGBT,26,23,3,MV-RGBT,"Revisiting RGBT tracking benchmarks from the perspective of modality validity: A new benchmark, problem, and solution"
33,2025,2025-2026,dataset,UniRTL,10,9,1,UniRTL,UniRTL: A universal RGBT and low-light benchmark for object tracking
4,2026,2025-2026,prompt,LoRA RGBT,19,19,0,,Group Orthogonal Low-Rank Adaptation for RGB-T Tracking
31,2025,2025-2026,robust,Debiasing,33,30,3,,Dual-level modality de-biasing for RGBT tracking
2,2026,2025-2026,transformer,CADTrack,23,23,0,,CADTrack: Learning Contextual Aggregation with Deformable Alignment for Robust RGBT Tracking
35,2025,2025-2026,transformer,MambaVT,16,14,2,,MambaVT: Spatio-temporal contextual modeling for robust RGBT tracking
41,2025,2025-2026,transformer,AFTER,37,36,1,,AFTER: Attention-Based Fusion Router for RGBT Tracking
6,2026,2025-2026,unified,Any-Modality,10,10,0,,Tracking and Segmenting Anything in Any Modality
13,2026,2025-2026,unified,UETrack,11,11,0,,UETrack: A Unified and Efficient Framework for Single Object Tracking
20,2025,2025-2026,unified,SUTrack,13,6,7,,SUTrack: Towards simple and unified single object tracking
25,2025,2025-2026,unified,CSTrack,27,23,4,,CSTrack: Enhancing RGB-X Tracking via Compact Spatiotemporal Features
36,2025,2025-2026,unified,Adaptive Percep.,15,13,2,,Adaptive Perception for Unified Visual Multi-modal Object Tracking
