row	year	venue	rating	paper	type	core_idea
17	2025	ACM MM	CCF-A	Serial Over Parallel: Learning Continual Unification for Multi-Modal Visual Object Tracking and Benchmarking	Unified	Unified Tracking, Foundation Tracker
18	2025	CVPR	CCF-A	MambaVT: Vision Mamba based RGB-T Tracking	RGB-T	Mamba / SSM, Long-term Dependency
19	2025	CVPR	CCF-A	ACAttack: Adaptive Cross Attacking RGB-T Tracker via Multi-Modal Response Decoupling	RGB-T	Robust Tracking, Adversarial Attack
20	2025	CVPR	CCF-A	PURA: Parameter Update-Recovery Test-Time Adaption for RGB-T Tracking	RGB-T	Robust Tracking, Test-Time Adaptation
21	2025	CVPR	CCF-A	MUST: The First Dataset and Unified Framework for Multispectral UAV Single Object Tracking	Unified	Unified Tracking, Prompt Tuning
22	2025	ICCV	CCF-A	Unified Multi-modal Tracking via Shared Latent Representation	Unified	Unified Tracking, Shared Latent Space
23	2025	ICCV	CCF-A	Cross-modal Uncertainty-aware RGBT Tracking	RGB-T	Robust Tracking, Uncertainty-aware
24	2025	ICCV	CCF-A	Temporal-aware Mamba Tracker for RGB-T Tracking	RGB-T	Mamba / SSM, Long-term Dependency
25	2025	ICML	CCF-A	CSTrack: Enhancing RGB-X Tracking via Compact Spatiotemporal Features	Any-modality	Unified Tracking, Spatiotemporal Fusion
26	2025	IJCAI	CCF-B	Template-based Uncertainty Multimodal Fusion Network for RGBT Tracking	RGB-T	Robust Tracking, Uncertainty-aware
27	2025	NeurIPS	CCF-A	Collaborating Vision, Depth, and Thermal Signals for Multi-Modal Tracking: Dataset and Algorithm	Any-modality	Prompt Tuning, Unified Tracking
28	2025	TIP	CAS-Q1	Dual-level modality de-biasing for RGBT tracking	RGB-T	Modality De-biasing
29	2025	TCSVT	CAS-Q2	MambaVT: Spatio-temporal contextual modeling for robust RGBT tracking	RGB-T	Mamba / SSM, Spatio-temporal
30	2025	AAAI	CCF-A	Exploiting multimodal spatial-temporal patterns for video object tracking	Any-modality	Spatial-temporal Patterns
31	2025	CVPR	CCF-A	DreamTrack: Dreaming the Future for Multimodal Visual Object Tracking	Any-modality	Generative Tracking, Future Dreaming
32	2025	ICCV	CCF-A	What You Have is What You Track: Adaptive and Robust Multimodal Tracking	Any-modality	Adaptive Tracking, Missing Modality
33	2025	ICCV	CCF-A	XTrack: Multimodal Training Boosts RGB-X Video Object Trackers	Any-modality	Multimodal Training
34	2025	TAI	CAS-Q2	Adaptive Perception for Unified Visual Multi-modal Object Tracking	Any-modality	Adaptive Perception, Unified Tracking
35	2025	TIP	CAS-Q1	Revisiting RGBT tracking benchmarks from the perspective of modality validity: A new benchmark, problem, and solution	RGB-T	Benchmark, Modality Validity
36	2025	Applied Intelligence	CAS-Q2	IAMTrack: interframe appearance and modality tokens propagation with temporal modeling for RGBT tracking	RGB-T	Token Propagation, Temporal Modeling
37	2025	PR	CAS-Q1	UniRTL: A universal RGBT and low-light benchmark for object tracking	RGB-T	Benchmark, Low-light
38	2025	AAAI	CCF-A	SUTrack: Towards simple and unified single object tracking	Unified	Unified Tracking, SUTrack
39	2025	Information Fusion	CAS-Q1	Prototype-based cross-modal object tracking	Any-modality	Prototype-based Tracking, Cross-modal
40	2025	PRL	CAS-Q3	Temporal aggregation for realtime RGBT tracking via fast decision-level fusion	RGB-T	Temporal Aggregation
41	2024	TIP	CAS-Q1	RGBT Tracking via Challenge-Based Appearance Disentanglement and Interaction	RGB-T	Robust Tracking, Disentanglement
42	2024	AAAI	CCF-A	Bi-directional adapter for multimodal tracking	Any-modality	Bi-directional Adapter, Modality Fusion
43	2024	AAAI	CCF-A	Generative-based fusion mechanism for multi-modal tracking	Any-modality	Generative Fusion
44	2024	AAAI	CCF-A	Temporal adaptive rgbt tracking with modality prompt	RGB-T	Prompt Tuning, Temporal Adaptive
45	2024	ACM MM	CCF-A	Breaking Modality Gap in RGBT Tracking: Coupled Knowledge Distillation	RGB-T	Knowledge Distillation
46	2024	TIP	CAS-Q1	QueryTrack: Joint-modality Query Fusion Network for RGBT Tracking	RGB-T	Query Fusion, Joint-modality
47	2024	IJCAI	CCF-B	Unified single-stage transformer network for efficient RGB-T tracking	RGB-T	Single-stage Transformer
48	2024	CVPR	CCF-A	SDSTrack: Self-Distillation Symmetric Adapter Learning for Multi-Modal Visual Object Tracking	Any-modality	Self-Distillation, Symmetric Adapter
49	2024	CVPR	CCF-A	Single-Model and Any-Modality for Video Object Tracking	Any-modality	Unified Tracking, Single Model
50	2024	TPAMI	CAS-Q1	RGB-T tracking with template-bridged search interaction and target-preserved template updating	RGB-T	Template Updating, Search Interaction
51	2024	IVC	CAS-Q3	MINet: Modality interaction network for unified multi-modal tracking	Any-modality	Unified Tracking, Modality Interaction
52	2024	Neurocomputing	CAS-Q2	MixRGBX: Universal multi-modal tracking with symmetric mixed attention	Any-modality	Universal Tracking, Symmetric Attention
53	2024	arXiv	Preprint	Towards a generalist and blind RGB-X tracker	Any-modality	Blind Tracking, Generalist Tracker
54	2024	TOMM	CAS-Q2	Multi-Level Fusion for Robust RGBT Tracking via Enhanced Thermal Representation	RGB-T	Multi-Level Fusion, Enhanced Thermal
55	2024	TCSVT	CAS-Q2	Toward modalities correlation for RGB-T tracking	RGB-T	Modalities Correlation
56	2024	TCSVT	CAS-Q2	EMTrack: Efficient Multimodal Object Tracking	Any-modality	Efficient Tracking, Multimodal
57	2024	TMM	CAS-Q1	Learning multi-layer attention aggregation siamese network for robust rgbt tracking	RGB-T	Siamese Network, Attention Aggregation
58	2024	Sensors	CAS-Q3	Learning multifrequency integration network for rgbt tracking	RGB-T	Multifrequency Integration
59	2024	TCSVT	CAS-Q2	Transformer rgbt tracking with spatio-temporal multimodal tokens	RGB-T	Spatio-temporal Tokens, Transformer
60	2024	TCSVT	CAS-Q2	Top-down cross-modal guidance for robust rgb-t tracking	RGB-T	Cross-modal Guidance, Top-down
61	2024	arXiv	Preprint	Cross Fusion RGB-T Tracking with Bi-directional Adapter	RGB-T	Bi-directional Adapter, Cross Fusion
62	2024	CVPR	CCF-A	Onetracker: Unifying visual object tracking with foundation models and efficient tuning	Unified	Foundation Models, OneTracker
63	2024	TNNLS	CAS-Q1	Cross-modal object tracking via modality-aware fusion network and a large-scale dataset	RGB-T	Modality-aware Fusion, Benchmark
64	2024	IJCV	CAS-Q1	Modality-missing RGBT tracking: Invertible prompt learning and high-quality benchmarks	RGB-T	Modality-missing, Invertible Prompt Learning
65	2024	TIP	CAS-Q1	Exploring multi-modal spatial–temporal contexts for high-performance RGB-T tracking	RGB-T	Spatial-temporal Contexts
66	2024	TCSVT	CAS-Q2	AMNet: Learning to align multi-modality for RGB-T tracking	RGB-T	Multi-modality Alignment
67	2024	IEEE Sensors Journal	CAS-Q3	Transformer-based RGB-T tracking with channel and spatial feature fusion	RGB-T	Channel and Spatial Fusion
68	2024	TCSVT	CAS-Q2	RGBT tracking via progressive fusion transformer with dynamically guided learning	RGB-T	Progressive Fusion Transformer, Dynamically Guided Learning
69	2024	SIVP	CAS-Q4	Learning a multimodal feature transformer for RGBT tracking	RGB-T	Multimodal Feature Transformer
70	2023	CVPR	CCF-A	Bridging search region interaction with template for RGB-T tracking	RGB-T	Transformer Fusion
71	2023	Sensors	CAS-Q3	Learning modality complementary features with mixed attention mechanism for RGB-T tracking	RGB-T	Mixed Attention
72	2023	ACM MM	CCF-A	Quality-Aware RGBT Tracking via Supervised Reliability Learning and Weighted Residual Guidance	RGB-T	Reliability Learning, Quality-aware
73	2023	IJMLC	CAS-Q3	Siamese infrared and visible light fusion network for RGBT tracking	RGB-T	Siamese Network, Fusion
74	2023	Sensors	CAS-Q3	Differential reinforcement and global collaboration network for rgbt tracking	RGB-T	Differential Reinforcement, Global Collaboration
75	2023	CVPR	CCF-A	Visual prompt multi-modal tracking	Any-modality	Prompt Tuning, Visual Prompt
76	2023	TIM	CAS-Q2	Dual-modality space-time memory network for RGBT tracking	RGB-T	Space-time Memory
77	2023	Information Fusion	CAS-Q1	Exploring fusion strategies for accurate RGBT visual object tracking	RGB-T	Fusion Strategies
78	2023	arXiv	Preprint	RGB-T tracking via multimodal mutual prompt learning	RGB-T	Prompt Learning
79	2023	CVPR	CCF-A	Efficient RGB-T tracking via cross-modality distillation	RGB-T	Cross-modality Distillation
80	2023	Infrared Physics & Technology	CAS-Q3	Learning modality feature fusion via transformer for rgbt-tracking	RGB-T	Transformer Fusion
81	2023	Drones	CAS-Q2	Drone based RGBT tracking with dual-feature aggregation network	RGB-T	Drone Tracking, Dual-feature Aggregation
82	2023	Remote Sensing	CAS-Q2	SiamCAF: Complementary attention fusion-based Siamese network for RGBT tracking	RGB-T	Siamese Network, Attention Fusion
83	2023	arXiv	Preprint	Unified sequence-to-sequence learning for single- and multi-modal visual object tracking	Unified	Seq2Seq Learning, Unified Tracking
84	2023	Information Fusion	CAS-Q1	Multi-modal multi-task feature fusion for RGBT tracking	RGB-T	Multi-task Feature Fusion
85	2022	ICME	CCF-B	Mirnet: A robust RGBT tracking jointly with multi-modal interaction and refinement	RGB-T	Robust Tracking, Modality Alignment
86	2022	TNNLS	CAS-Q1	Duality-gated mutual condition network for RGBT tracking	RGB-T	Mutual Condition, Gated Fusion
87	2022	AAAI	CCF-A	Attribute-based progressive fusion network for rgbt tracking	RGB-T	Attribute-based, Progressive Fusion
88	2022	ACM MM	CCF-A	Prompting for multi-modal tracking	Any-modality	Prompt Tuning, Unified Tracking
89	2022	TITS	CAS-Q1	Dynamic fusion network for RGBT tracking	RGB-T	Dynamic Fusion
90	2022	TMM	CAS-Q1	MFGNet: Dynamic modality-aware filter generation for RGB-T tracking	RGB-T	Dynamic Filter Generation
91	2022	CVPR	CCF-A	Visible-thermal UAV tracking: A large-scale benchmark and new baseline	RGB-T	Benchmark, UAV Tracking
92	2022	TIP	CAS-Q1	LasHeR: A large-scale high-diversity benchmark for RGBT tracking	RGB-T	Benchmark, LasHeR Dataset
93	2022	TIP	CAS-Q1	M5L: Multi-modal multi-margin metric learning for RGBT tracking	RGB-T	Metric Learning, Margin
94	2022	TMM	CAS-Q1	Multimodal cross-layer bilinear pooling for RGBT tracking	RGB-T	Cross-layer Bilinear Pooling
95	2022	AAAI	CCF-A	Cross-modal object tracking: Modality-aware representations and a unified benchmark	Any-modality	Modality-aware Representation, Unified Benchmark
96	2021	TIP	CAS-Q1	RGBT tracking via multi-Adapter network with hierarchical divergence Loss	RGB-T	Multi-adapter, Divergence Loss
97	2021	IJCV	CAS-Q1	Learning adaptive attribute-driven representation for real-time RGBT tracking	RGB-T	Adaptive Attribute-driven, Real-time
98	2021	TIP	CAS-Q1	Jointly modeling motion and appearance cues for robust RGB-T tracking	RGB-T	Motion and Appearance Cues
99	2021	TIV	CAS-Q1	Quality-aware feature aggregation network for robust RGBT tracking	RGB-T	Quality-aware Feature Aggregation
100	2020	ECCV	CCF-B	Challenge-aware RGBT tracking	RGB-T	Robust Tracking
101	2020	CVPR	CCF-A	Cross-modal pattern-propagation for RGB-T tracking	RGB-T	Pattern-propagation, Cross-modal
102	2019	ICCV Workshop	Workshop	Deep adaptive fusion network for high performance RGBT tracking	RGB-T	Adaptive Fusion
103	2019	ICCV Workshop	Workshop	Multi-adapter RGBT tracking	RGB-T	Multi-adapter, Fusion
104	2019	ICCV	CCF-A	Multi-modal fusion for end-to-end RGB-T tracking	RGB-T	End-to-end Fusion, CNN
105	2019	PR	CAS-Q1	RGBT object tracking: Benchmark and baseline	RGB-T	Benchmark, Baseline
106	2019	ACM MM	CCF-A	Dense feature aggregation and pruning for RGBT tracking	RGB-T	Dense feature aggregation, Pruning
107	2017	ACM MM	CCF-A	Weighted sparse representation regularized graph learning for RGB-T object tracking	RGB-T	Graph Learning, Sparse Representation
108	2016	TIP	CAS-Q1	Learning collaborative sparse representation for grayscale-thermal tracking	RGB-T	Sparse Representation
109	2016	MMM	CCF-C	Real-time grayscale-thermal tracking via laplacian sparse representation	RGB-T	Laplacian Sparse Representation
110	2012	CVIU	CAS-Q3	An iterative integrated framework for thermal–visible image registration, sensor fusion, and people tracking for video surveillance applications	RGB-T	Iterative Registration, Sensor Fusion
111	2012	Sci. China Inf. Sci.	CAS-Q2	Fusion tracking in color and infrared images using joint sparse representation	RGB-T	Joint Sparse Representation
112	2011	FUSION	Pending	Multiple source data fusion via sparse representation for robust visual tracking	RGB-T	Sparse Representation
113	2010	MVA	CAS-Q4	Pedestrian tracking by fusion of thermal-visible surveillance videos	RGB-T	Pedestrian Tracking, Video Fusion
114	2008	MVA	CAS-Q4	Thermo-visual feature fusion for object tracking using multiple spatiogram trackers	RGB-T	Spatiogram Trackers, Feature Fusion
115	2007	CVPR	CCF-A	The effect of pixel-level fusion on object tracking in multi-sensor surveillance video	RGB-T	Pixel-level Fusion
116	2007	WACV	Pending	Geodesic active contour based fusion of visible and infrared video for persistent object tracking	RGB-T	Geodesic Active Contour
117	2006	FUSION	Pending	Comparison of fusion methods for thermo-visual surveillance tracking	RGB-T	Fusion Comparison
